entertainment,city,address1,address2
BAM Peter Jay Sharp Building,New York,BAM Peter Jay Sharp Building,"30 Lafayette Avenue, New York, NY 11217, United States of America"
BAM Howard Gilman Opera House,New York,BAM Howard Gilman Opera House,"30 Lafayette Avenue, New York, NY 11217, United States of America"
N/A,New York,103 North 3rd Street,"New York, NY 11249, United States of America"
BAM Rose Cinemas,New York,BAM Rose Cinemas,"30 Lafayette Avenue, New York, NY 11217, United States of America"
Repertorio Español,New York,Repertorio Español,"138 East 27th Street, New York, NY 10016, United States of America"
The Column Theater,New York,The Column Theater,"345 Dean Street, New York, NY 11217, United States of America"
BAM Fischer,New York,BAM Fischer,"321 Ashland Place, New York, NY 11217, United States of America"
Red Hook Art Project,New York,Red Hook Art Project,"291 Van Brunt Street, New York, NY 11231, United States of America"
Paula Cooper Gallery,New York,Paula Cooper Gallery,"525 West 21st Street, New York, NY 10011, United States of America"
The Fishman Space,New York,The Fishman Space,"321 Ashland Place, New York, NY 11217, United States of America"
Museum of Sex,New York,Museum of Sex,"223 5th Avenue, New York, NY 10016, United States of America"
National Sawdust,New York,National Sawdust,"80 North 6th Street, New York, NY 11249, United States of America"
The Robotic Church,New York,The Robotic Church,"111 Pioneer Street, New York, NY 11231, United States of America"
Penn South Playground,New York,Penn South Playground,"West 26th Street, New York, NY 10001, United States of America"
303 Gallery,New York,303 Gallery,"555 West 21st Street, New York, NY 10011, United States of America"
Verysweetlife Studio,New York,Verysweetlife Studio,"320 Dean Street, New York, NY 11217, United States of America"
Basin Gallery & Studios,New York,Basin Gallery & Studios,"344 Van Brunt Street, New York, NY 11231, United States of America"
The Museum at FIT,New York,The Museum at FIT,"West 27th Street, New York, NY 10001, United States of America"
The Cliffs at Gowanus,New York,The Cliffs at Gowanus,"242 Butler Street, New York, NY 11217, United States of America"
Peninsula,New York,Peninsula,"352 Van Brunt Street, New York, NY 11231, United States of America"
Williamsburg Cinemas,New York,Williamsburg Cinemas,"217 Grand Street, New York, NY 11211, United States of America"
Brindamour Studios,New York,Brindamour Studios,"487 Union Street, New York, NY 11231, United States of America"
The Fiberhouse,New York,The Fiberhouse,"72 Nelson Street, New York, NY 11231, United States of America"
Sunday Takeout,New York,Sunday Takeout,"29 Hanson Place, New York, NY 11217, United States of America"
HG Contemporary,New York,HG Contemporary,"527 West 23rd Street, New York, NY 10011, United States of America"
Escape,New York,Escape,"130 West 29th Street, New York, NY 10001, United States of America"
Gladstone Gallery,New York,Gladstone Gallery,"515 West 24th Street, New York, NY 10011, United States of America"
Art World ESPO,New York,Art World ESPO,"72 4th Avenue, New York, NY 11217, United States of America"
Bond Craft Studio,New York,Bond Craft Studio,"372 Bond Street, New York, NY 11231, United States of America"
Chelsea Waterside Play Area,New York,Chelsea Waterside Play Area,"11th Avenue, New York, NY 10011, United States of America"
Museum of Contemporary African Diasporan Arts,New York,Museum of Contemporary African Diasporan Arts,"80 Hanson Place, New York, NY 11217, United States of America"
Spoke the Hub Dancing,New York,Spoke the Hub Dancing,"298 Butler Street, New York, NY 11217, United States of America"
KoKo Gowanus,New York,KoKo Gowanus,"298 Butler Street, New York, NY 11217, United States of America"
Gagosian,New York,Gagosian,"555 West 24th Street, New York, NY 10011, United States of America"
Brooklyn Boulders,New York,Brooklyn Boulders,"575 Degraw Street, New York, NY 11217, United States of America"
Liberty Science Center,Jersey City,Liberty Science Center,"222 Jersey City Boulevard, Jersey City, NJ 07305, United States of America"
Pace Gallery,New York,Pace Gallery,"540 West 25th Street, New York, NY 10001, United States of America"
Magnet Theater,New York,Magnet Theater,"254 West 29th Street, New York, NY 10001, United States of America"
Hudson Guild Theatre,New York,Hudson Guild Theatre,"441 West 26th Street, New York, NY 10001, United States of America"
Chelsea Park,New York,Chelsea Park,"West 27th Drive, New York, NY 10001, United States of America"
Theater Mitu,New York,Theater Mitu,"580A Sackett Street, New York, NY 11217, United States of America"
IMAX Dome Theater,Jersey City,IMAX Dome Theater,"New Jersey Turnpike Newark Bay Extension, Jersey City, NJ 07302, United States of America"
MetroRock Williamsburg,New York,MetroRock Williamsburg,"150 Marcy Avenue, New York, NY 11211, United States of America"
Joseph D. Williams Science Theater,Jersey City,Joseph D. Williams Science Theater,"Phillip Street, Jersey City, NJ 07305, United States of America"
Skyline Drive In NYC,New York,Skyline Drive In NYC,"Oak Street, New York, NY 11222, United States of America"
Statue of Liberty Museum,New York,Statue of Liberty Museum,"Flagpole Plaza, New York, NY 07302, United States of America"
AMC Kips Bay 15,New York,AMC Kips Bay 15,"570 2nd Avenue, New York, NY 10016, United States of America"
The Cutting Room,New York,The Cutting Room,"44 East 32nd Street, New York, NY 10016, United States of America"
Paul Robeson Theatre,New York,Paul Robeson Theatre,"40 Greene Avenue, New York, NY 11221, United States of America"
The McKittrick Hotel,New York,The McKittrick Hotel,"West 27th Street, New York, NY 10001, United States of America"
Memorial Hall,New York,Memorial Hall,"205 Ryerson Street, New York, NY 11205, United States of America"
The City Reliquary,New York,The City Reliquary,"370 Metropolitan Avenue, New York, NY 11211, United States of America"
The Canvas,New York,The Canvas,"132 Bedford Avenue, New York, NY 11249, United States of America"
Littlefield,New York,Littlefield,"635 Sackett Street, New York, NY 11217, United States of America"
e-flux,New York,e-flux,"172 Classon Avenue, New York, NY 11205, United States of America"
The Waterfront Museum,New York,The Waterfront Museum,"Conover Street, New York, NY 11231, United States of America"
Lucid Body House,New York,Lucid Body House,"230 Lexington Avenue, New York, NY 10016, United States of America"
GP-81 Climbing Gym,New York,GP-81 Climbing Gym,"81 Quay Street, New York, NY 11222, United States of America"
Jaime Campiz Playground,New York,Jaime Campiz Playground,"Marcy Avenue, New York, NY 11211, United States of America"
VR World,New York,VR World,"8 East 34th Street, New York, NY 10016, United States of America"
Liberty State Park Interpretive Center,Jersey City,Liberty State Park Interpretive Center,"275 Freedom Way, Jersey City, NJ 07305, United States of America"
The Houdini Museum of New York,New York,The Houdini Museum of New York,"West 33rd Street, New York, NY 10001, United States of America"
ShapeShifter Lab,New York,ShapeShifter Lab,"18 Whitwell Place, New York, NY 11215, United States of America"
Textile Arts Center,New York,Textile Arts Center,"505 Carroll Street, New York, NY 11215, United States of America"
Liberty State Park Interpretive Center,Jersey City,Liberty State Park Interpretive Center,"Freedom Way, Jersey City, NJ 07302, United States of America"
Martin E. Segal Theatre Center,New York,Martin E. Segal Theatre Center,"365 5th Avenue, New York, NY 10016, United States of America"
The Gutter,New York,The Gutter,"200 North 14th Street, New York, NY 11249, United States of America"
VITAL Climbing Gym,New York,VITAL Climbing Gym,"221 North 14th Street, New York, NY 11249, United States of America"
The Shed,New York,The Shed,"West 30th Street, New York, NY 10001, United States of America"
Established Gallery,New York,Established Gallery,"75B 6th Avenue, New York, NY 11217, United States of America"
The Bell House,New York,The Bell House,"149 7th Street, New York, NY 11215, United States of America"
The Old American Can Factory,New York,The Old American Can Factory,"232 3rd Street, New York, NY 11215, United States of America"
Ortega y Gasset Projects,New York,Ortega y Gasset Projects,"363 3rd Avenue, New York, NY 11215, United States of America"
AMC Lowes 34th St 14,New York,AMC Lowes 34th St 14,"312 West 34th Street, New York, NY 10001, United States of America"
N/A,New York,232 3rd Street,"New York, NY 11215, United States of America"
Site: Brooklyn,New York,Site: Brooklyn,"165 7th Street, New York, NY 11215, United States of America"
Manhattan Center,New York,Manhattan Center,"311 West 34th Street, New York, NY 10001, United States of America"
The Morgan Library & Museum,New York,The Morgan Library & Museum,"East 36th Street, New York, NY 10016, United States of America"
Grand Avenue Workshop,New York,Grand Avenue Workshop,"290 Grand Avenue, New York, NY 11238, United States of America"
Side pony tail - comedy,New York,Side pony tail - comedy,"594 Union Avenue, New York, NY 11211, United States of America"
Super Secret Arts,New York,Super Secret Arts,"400 3rd Avenue, New York, NY 11215, United States of America"
Ibeam Brooklyn,New York,Ibeam Brooklyn,"168 7th Street, New York, NY 11215, United States of America"
Sharon Simmons Art Gallery,New York,Sharon Simmons Art Gallery,"127 6th Avenue, New York, NY 11217, United States of America"
Principles GI Coffee House,New York,Principles GI Coffee House,"139 9th Street, New York, NY 11215, United States of America"
Bklyn Clay,New York,Bklyn Clay,"535 Carlton Avenue, New York, NY 11238, United States of America"
Barcade,New York,Barcade,"388 Union Avenue, New York, NY 11211, United States of America"
17 Frost Gallery,New York,17 Frost Gallery,"17 Frost Street, New York, NY 11211, United States of America"
St. Hrouda,New York,St. Hrouda,"227 5th Avenue, New York, NY 11215, United States of America"
Hoboken Historical Museum,Hoboken,Hoboken Historical Museum,"1301 Hudson Street, Hoboken, NJ 07030, United States of America"
Abingdon Theatre Complex,New York,Abingdon Theatre Complex,"312 West 36th Street, New York, NY 10018, United States of America"
The Tank,New York,The Tank,"312 West 36th Street, New York, NY 10018, United States of America"
Monroe Center for the Arts,Hoboken,Monroe Center for the Arts,"623 Monroe Street, Hoboken, NJ 07030, United States of America"
Shipwrecked,New York,Shipwrecked,"621 Court Street, New York, NY 11231, United States of America"
Dieu Donne,New York,Dieu Donne,"315 West 36th Street, New York, NY 10018, United States of America"
National Comedy Theater,New York,National Comedy Theater,"347 West 36th Street, New York, NY 10018, United States of America"
Craftsman Ave,New York,Craftsman Ave,"117B 11th Street, New York, NY 11215, United States of America"
The Brick,New York,The Brick,"579 Metropolitan Avenue, New York, NY 11211, United States of America"
Soapbox Gallery,New York,Soapbox Gallery,"636 Dean Street, New York, NY 11238, United States of America"
Spoke the Hub,New York,Spoke the Hub,"748 Union Street, New York, NY 11215, United States of America"
Old Stone House,New York,Old Stone House,"336 3rd Street, New York, NY 11215, United States of America"
J.J. Byrne Playground,New York,J.J. Byrne Playground,"3rd Street, New York, NY 11215, United States of America"
Lafayette Gardens Playground,New York,Lafayette Gardens Playground,"Franklin Avenue, New York, NY 11225, United States of America"
Ocean's 8,New York,Ocean's 8,"308 Flatbush Avenue, New York, NY 11238, United States of America"
Museum of Food and Drink,New York,Museum of Food and Drink,"62 Bayard Street, New York, NY 11222, United States of America"
Ripley-Grier Flexible Spaces,New York,Ripley-Grier Flexible Spaces,"305 West 38th Street, New York, NY 10018, United States of America"
The AKC Museum of the Dog,New York,The AKC Museum of the Dog,"101 Park Avenue, New York, NY 10016, United States of America"
BAC,New York,BAC,"450 West 37th Street, New York, NY 10018, United States of America"
The Escape Game New York City,New York,The Escape Game New York City,"295 Madison Avenue, New York, NY 10017, United States of America"
Film Noir Cinema,New York,Film Noir Cinema,"122 Meserole Avenue, New York, NY 11222, United States of America"
Brooklyn Center Stage Dance Studio,New York,Brooklyn Center Stage Dance Studio,"495 3rd Avenue, New York, NY 11215, United States of America"
SIR Stage37,New York,SIR Stage37,"508 West 37th Street, New York, NY 10018, United States of America"
The Empty Circle,New York,The Empty Circle,"499 3rd Avenue, New York, NY 11215, United States of America"
Putting Green,New York,Putting Green,"6th Avenue, New York, NY 10019, United States of America"
The Elizabeth Foundation for the Arts,New York,The Elizabeth Foundation for the Arts,"323 West 39th Street, New York, NY 10018, United States of America"
The Robert Blackburn Printmaking Workshop (RBPMW),New York,The Robert Blackburn Printmaking Workshop (RBPMW),"323 West 39th Street, New York, NY 10018, United States of America"
Miss Tic Escape Rooms,New York,Miss Tic Escape Rooms,"794 Union Street, New York, NY 11215, United States of America"
Nederlander Theatre,New York,Nederlander Theatre,"208 West 41st Street, New York, NY 10018, United States of America"
BBFL Gallery,New York,BBFL Gallery,"300-302 7th Street, New York, NY 11215, United States of America"
Brooklyn Glass,New York,Brooklyn Glass,"143 13th Street, New York, NY 11215, United States of America"
New Amsterdam Theatre,New York,New Amsterdam Theatre,"214 West 42nd Street, New York, NY 10036, United States of America"
Madame Tussauds New York,New York,Madame Tussauds New York,"234 West 42nd Street, New York, NY 10036, United States of America"
AMC Empire 25,New York,AMC Empire 25,"234 West 42nd Street, New York, NY 10036, United States of America"
Dave & Buster's,New York,Dave & Buster's,"234 West 42nd Street, New York, NY 10036, United States of America"
Jack,New York,Jack,"20 Putnam Avenue, New York, NY 11238, United States of America"
The Gravity Vault Hoboken,Hoboken,The Gravity Vault Hoboken,"1423 Clinton Street, Hoboken, NJ 07030, United States of America"
Bow Tie Cinemas,Hoboken,Bow Tie Cinemas,"409-415 14th Street, Hoboken, NJ 07030, United States of America"
Puppetworks,New York,Puppetworks,"338 6th Avenue, New York, NY 11215, United States of America"
BAX,New York,BAX,"421 5th Avenue, New York, NY 11215, United States of America"
New Victory Theater,New York,New Victory Theater,"209 West 42nd Street, New York, NY 10036, United States of America"
Lyric Theatre,New York,Lyric Theatre,"213 West 42nd Street, New York, NY 10036, United States of America"
American Airlines Theatre,New York,American Airlines Theatre,"227 West 42nd Street, New York, NY 10036, United States of America"
The Gravity Vault Hoboken,Hoboken,The Gravity Vault Hoboken,"1423 Clinton Street, Hoboken, NJ 07030, United States of America"
Stephen Sondheim Theatre,New York,Stephen Sondheim Theatre,"124 West 43rd Street, New York, NY 10036, United States of America"
The Duke on 42nd Street,New York,The Duke on 42nd Street,"229 West 42nd Street, New York, NY 10036, United States of America"
Regal E-Walk Stadium 13 & RPX,New York,Regal E-Walk Stadium 13 & RPX,"247 West 42nd Street, New York, NY 10036, United States of America"
International Center of Photography,New York,International Center of Photography,"1133 6th Avenue, New York, NY 10036, United States of America"
The Town Hall,New York,The Town Hall,"123 West 43rd Street, New York, NY 10036, United States of America"
American Airlines Theatre,New York,American Airlines Theatre,"227 West 42nd Street, New York, NY 10036, United States of America"
Muddguts,New York,Muddguts,"427 Graham Avenue, New York, NY 11211, United States of America"
Theatre Row,New York,Theatre Row,"410 West 42nd Street, New York, NY 10036, United States of America"
Playwrights Horizons,New York,Playwrights Horizons,"416 West 42nd Street, New York, NY 10036, United States of America"
Belasco Theatre,New York,Belasco Theatre,"111 West 44th Street, New York, NY 10036, United States of America"
Fiddler on The Roof,New York,Fiddler on The Roof,"420 West 42nd Street, New York, NY 10036, United States of America"
The Green Room 42,New York,The Green Room 42,"460 West 42nd Street, New York, NY 10036, United States of America"
Helen Hayes Theatre,New York,Helen Hayes Theatre,"240 West 44th Street, New York, NY 10036, United States of America"
St. James Theatre,New York,St. James Theatre,"246 West 44th Street, New York, NY 10036, United States of America"
Greenpoint Gallery,New York,Greenpoint Gallery,"390 McGuinness Boulevard, New York, NY 11222, United States of America"
Underhill Playground,New York,Underhill Playground,"Prospect Place, New York, NY 11216, United States of America"
Second Stage Theater,New York,Second Stage Theater,"West 43rd Street, New York, NY 10036, United States of America"
The Gallery Players Theater,New York,The Gallery Players Theater,"199 14th Street, New York, NY 11215, United States of America"
PlayStation Theater,New York,PlayStation Theater,"1515 Broadway, New York, NY 10019, United States of America"
Shubert Theatre,New York,Shubert Theatre,"225 West 44th Street, New York, NY 10036, United States of America"
Broadhurst Theatre,New York,Broadhurst Theatre,"235 West 44th Street, New York, NY 10036, United States of America"
Majestic Theatre,New York,Majestic Theatre,"245 West 44th Street, New York, NY 10036, United States of America"
Land Gallery & Studio,New York,Land Gallery & Studio,"1101 Bedford Avenue, New York, NY 11216, United States of America"
Booth Theatre,New York,Booth Theatre,"222 West 45th Street, New York, NY 10036, United States of America"
GAMBA Forest,New York,GAMBA Forest,"630 Humboldt Street, New York, NY 11222, United States of America"
Gerald Schoenfeld Theatre,New York,Gerald Schoenfeld Theatre,"236 West 45th Street, New York, NY 10036, United States of America"
Bernard B. Jacobs Theatre,New York,Bernard B. Jacobs Theatre,"242 West 45th Street, New York, NY 10036, United States of America"
Minskoff Theatre,New York,Minskoff Theatre,"1515 Broadway, New York, NY 10019, United States of America"
Lyceum Theatre,New York,Lyceum Theatre,"149 West 45th Street, New York, NY 10036, United States of America"
John Golden Theatre,New York,John Golden Theatre,"252 West 45th Street, New York, NY 10036, United States of America"
Westside Theatre,New York,Westside Theatre,"407 West 43rd Street, New York, NY 10036, United States of America"
440 Gallery,New York,440 Gallery,"440 6th Avenue, New York, NY 11215, United States of America"
Producers Club Theaters and Bar,New York,Producers Club Theaters and Bar,"358 West 44th Street, New York, NY 10036, United States of America"
Al Hirschfeld Theatre,New York,Al Hirschfeld Theatre,"302 West 45th Street, New York, NY 10036, United States of America"
N/A,Union City,Willie Wolf Way,"Union City, NJ 07307, United States of America"
Music Box Theatre,New York,Music Box Theatre,"239 West 45th Street, New York, NY 10036, United States of America"
Imperial Theater,New York,Imperial Theater,"249 West 45th Street, New York, NY 10036, United States of America"
Loew's Jersey Theatre,Jersey City,Loew's Jersey Theatre,"54 Journal Concourse Square West, Jersey City, NJ 07306, United States of America"
Upright Citizens Brigade Theatre,New York,Upright Citizens Brigade Theatre,"555 West 42nd Street, New York, NY 10036, United States of America"
Richard Rodgers Theatre,New York,Richard Rodgers Theatre,"226 West 46th Street, New York, NY 10036, United States of America"
New Dramatists Theater,New York,New Dramatists Theater,"424 West 44th Street, New York, NY 10036, United States of America"
Artshack Gallery,New York,Artshack Gallery,"1127 Bedford Avenue, New York, NY 11216, United States of America"
Artshack Brooklyn,New York,Artshack Brooklyn,"1131 Bedford Avenue, New York, NY 11216, United States of America"
Lucky Strike Social,New York,Lucky Strike Social,"624-660 West 42nd Street, New York, NY 10036, United States of America"
Lunt-Fontanne Theatre,New York,Lunt-Fontanne Theatre,"205 West 46th Street, New York, NY 10036, United States of America"
Palace Theater,New York,Palace Theater,"1564 Broadway, New York, NY 10019, United States of America"
Old Hickory Playground,New York,Old Hickory Playground,"51st Avenue, New York, NY 11109, United States of America"
Lena Horne Theatre,New York,Lena Horne Theatre,"256 West 47th Street, New York, NY 10036, United States of America"
Firefighters' Memorial Park,Union City,Firefighters' Memorial Park,"Palisade Avenue, Union City, NJ 07087, United States of America"
John Hancock Playground,New York,John Hancock Playground,"90 Jefferson Avenue, New York, NY 11216, United States of America"
Andrews Grove,New York,Andrews Grove,"49th Avenue, New York, NY 11101, United States of America"
James Earl Jones Theatre,New York,James Earl Jones Theatre,"138 West 48th Street, New York, NY 10036, United States of America"
Barrymore Theatre,New York,Barrymore Theatre,"243 West 47th Street, New York, NY 10036, United States of America"
LOL Times Square Comedy Club,New York,LOL Times Square Comedy Club,"711 7th Avenue, New York, NY 10036, United States of America"
Samuel J. Friedman Theatre,New York,Samuel J. Friedman Theatre,"261 West 47th Street, New York, NY 10036, United States of America"
Qlty-Life,New York,Qlty-Life,"240 Norman Avenue, New York, NY 11222, United States of America"
Longacre Theatre,New York,Longacre Theatre,"220 West 48th Street, New York, NY 10036, United States of America"
Shoestring Press,New York,Shoestring Press,"640 Classon Avenue, New York, NY 11238, United States of America"
Underpenny Museum Antique & Collectables,New York,Underpenny Museum Antique & Collectables,"10-13 50th Avenue, New York, NY 11101, United States of America"
Walter Kerr Theatre,New York,Walter Kerr Theatre,"219 West 48th Street, New York, NY 10019, United States of America"
FGD Gallery,New York,FGD Gallery,"535A 6th Avenue, New York, NY 11215, United States of America"
Eden Fine Art,New York,Eden Fine Art,"437 Madison Avenue, New York, NY 10017, United States of America"
Estudio,New York,Estudio,"547 6th Avenue, New York, NY 11215, United States of America"
Eugene O'Neill Theatre,New York,Eugene O'Neill Theatre,"230 West 49th Street, New York, NY 10019, United States of America"
Standing Room Comedy Club,New York,Standing Room Comedy Club,"47-42 Vernon Boulevard, New York, NY 11101, United States of America"
Almira Kennedy Coursey Amphitheater,New York,Almira Kennedy Coursey Amphitheater,"Lafayette Avenue, New York, NY 11221, United States of America"
Ambassador Theatre,New York,Ambassador Theatre,"219 West 49th Street, New York, NY 10019, United States of America"
Radio City Music Hall,New York,Radio City Music Hall,"West 50th Street, New York, NY 10019, United States of America"
Fountain Gallery,New York,Fountain Gallery,"West 48th Street, New York, NY 10036, United States of America"
Carolines on Broadway,New York,Carolines on Broadway,"1626 Broadway, New York, NY 10019, United States of America"
Boccara Art,New York,Boccara Art,"198 24th Street, New York, NY 11232, United States of America"
Under Minerva,New York,Under Minerva,"656 5th Avenue, New York, NY 11232, United States of America"
Hootenanny Art Annex,New York,Hootenanny Art Annex,"413A 7th Avenue, New York, NY 11215, United States of America"
Winter Garden Theatre,New York,Winter Garden Theatre,"1634 Broadway, New York, NY 10019, United States of America"
Brooklyn Acting Lab,New York,Brooklyn Acting Lab,"1012 8th Avenue, New York, NY 11215, United States of America"
Gershwin Theatre,New York,Gershwin Theatre,"222 West 51st Street, New York, NY 10019, United States of America"
Intrepid Museum,New York,Intrepid Museum,"86 West 46th Street, New York, NY 10036, United States of America"
New World Stages,New York,New World Stages,"340 West 50th Street, New York, NY 10019, United States of America"
My Gallery NYC,New York,My Gallery NYC,"587 Franklin Avenue, New York, NY 11216, United States of America"
Circle in the Square Theatre,New York,Circle in the Square Theatre,"222 West 51st Street, New York, NY 10019, United States of America"
Open Source Gallery,New York,Open Source Gallery,"306 17th Street, New York, NY 11215, United States of America"
Brooklyn Museum,New York,Brooklyn Museum,"200 Eastern Parkway, New York, NY 11238, United States of America"
Gasworks,New York,Gasworks,"673 5th Avenue, New York, NY 11215, United States of America"
Winter Garden Theatre,New York,Winter Garden Theatre,"8th Avenue, New York, NY 10019, United States of America"
Paley Center for Media,New York,Paley Center for Media,"25 West 52nd Street, New York, NY 10019, United States of America"
Wendy's Subway,New York,Wendy's Subway,"379 Bushwick Avenue, New York, NY 11207, United States of America"
Plaxall Gallary,New York,Plaxall Gallary,"5-25 46th Avenue, New York, NY 11101, United States of America"
The Ear,New York,The Ear,"255 Boerum Street, New York, NY 11206, United States of America"
Neil Simon Theater,New York,Neil Simon Theater,"250 West 52nd Street, New York, NY 10019, United States of America"
Slope Park Playground,New York,Slope Park Playground,"19th Street, New York, NY 11218, United States of America"
Lucky Cheng's,New York,Lucky Cheng's,"242 West 52nd Street, New York, NY 10019, United States of America"
Vector Gallery,New York,Vector Gallery,"951 Grand Street, New York, NY 11211, United States of America"
Abe Art,New York,Abe Art,"660 Franklin Avenue, New York, NY 11238, United States of America"
August Wilson Theatre,New York,August Wilson Theatre,"245 West 52nd Street, New York, NY 10019, United States of America"
MoMA,New York,MoMA,"11 West 53rd Street, New York, NY 10019, United States of America"
The Gutter,New York,The Gutter,"10-22 46th Avenue, New York, NY 11101, United States of America"
Broadway Theatre,New York,Broadway Theatre,"1681 Broadway, New York, NY 10019, United States of America"
Museum of Modern Art (MoMA) films,New York,Museum of Modern Art (MoMA) films,"11 West 53rd Street, New York, NY 10019, United States of America"
Five Myles,New York,Five Myles,"558 Saint Johns Place, New York, NY 11238, United States of America"
Soft Surplus,New York,Soft Surplus,"366 Devoe Street, New York, NY 11211, United States of America"
Bowl Rite,Union City,Bowl Rite,"8th Street, Union City, NJ 07047, United States of America"
Grand Central Atelier,New York,Grand Central Atelier,"46-06 11th Street, New York, NY 11101, United States of America"
Ed Sullivan Theater,New York,Ed Sullivan Theater,"Broadway, New York, NY 10019, United States of America"
Ziegfeld Ballroom,New York,Ziegfeld Ballroom,"141 West 54th Street, New York, NY 10019, United States of America"
The Bandshell,New York,The Bandshell,"62 West Drive, New York, NY 11215, United States of America"
Transfer Gallery,New York,Transfer Gallery,"1030 Metropolitan Avenue, New York, NY 11211, United States of America"
Studio 54,New York,Studio 54,"254 West 54th Street, New York, NY 10019, United States of America"
Hootenanny Art House,New York,Hootenanny Art House,"428 15th Street, New York, NY 11215, United States of America"
International Studio & Curatorial Program,New York,International Studio & Curatorial Program,"1040 Metropolitan Avenue, New York, NY 11211, United States of America"
Irish Arts Center,New York,Irish Arts Center,"West 51st Street, New York, NY 10019, United States of America"
Lesbian Herstory Archives,New York,Lesbian Herstory Archives,"484 14th Street, New York, NY 11215, United States of America"
New York City Center,New York,New York City Center,"6½ Avenue, New York, NY 10105, United States of America"
MoMA PS1,New York,MoMA PS1,"46th Avenue, New York, NY 11101, United States of America"
Eyebeam,New York,Eyebeam,"199 Cook Street, New York, NY 11206, United States of America"
The Daily Show with Trevor Noah,New York,The Daily Show with Trevor Noah,"727 11th Avenue, New York, NY 10019, United States of America"
Dorsky Gallery,New York,Dorsky Gallery,"11-03 45th Avenue, New York, NY 11101, United States of America"
Prospect Park Zoo,New York,Prospect Park Zoo,"450 Flatbush Avenue, New York, NY 11225, United States of America"
Zankel Hall,New York,Zankel Hall,"West 56th Street, New York, NY 10019, United States of America"
Amos Eno Gallery,New York,Amos Eno Gallery,"56 Bogart Street, New York, NY 11206, United States of America"
Syndicated Bar Theater Kitchen,New York,Syndicated Bar Theater Kitchen,"40 Bogart Street, New York, NY 11206, United States of America"
