Hotel Name,Distance from NYC
31 Street Broadway Hotel,New York
Americana Motel,17.44 mi from New York
Days Inn by Wyndham Wayne,21.44 mi from New York
Quality Inn Wayne - Fairfield Area,17.75 mi from New York
Americas Best Value Inn Avenel Woodbridge,17.36 mi from New York
Luxe Autos Exotic Rentals,9.32 mi from New York
⭐️ Best Studio/RV To Visit NYC✈️EWR Airport-Free Parking,11.42 mi from New York
Travelodge by Wyndham Avenel Woodbridge,17.38 mi from New York
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,14.45 mi from New York
Kamway Lodge & Travel,6.55 mi from New York
Rodeway Inn,16.25 mi from New York
Tides Motor Inn at Stehli Beach,25.9 mi from New York
Rodeway Inn Capri,9.9 mi from New York
Private room with its own private bathroom,16.63 mi from New York
L 3 Downtown Newark Guesthouse,10.19 mi from New York
American Dream 10 mins! 1BDR,10.97 mi from New York
Mamaroneck Motel,20.9 mi from New York
Crown Inn Motel,13.93 mi from New York
Days Inn by Wyndham Iselin / Woodbridge,18.36 mi from New York
Piermont Cozy Haven,23.66 mi from New York
Extended Stay America Suites Ramsey Upper Saddle River,23.68 mi from New York
Holly Hill Motel,20.34 mi from New York
Motel House,10.13 mi from New York
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",10.2 mi from New York
Coliseum Inn & Suites - Garden City Long Island,22.61 mi from New York
Tappan Zee Hotel,26.68 mi from New York
Horizon Inn,17.04 mi from New York
Inn at Jericho,23.77 mi from New York
NY Moore Hostel,3.64 mi from New York
"Red Carpet Inn Newark Irvington, NJ",11.83 mi from New York
⭐️ Best Apt To Visit NYC-5 minutes to✈️EWR airport+Free Parking,11.42 mi from New York
Wyndham Garden Totowa,16.68 mi from New York
Quality Inn Spring Valley - Nanuet,27.08 mi from New York
Hampton Inn & Suites Newark Airport Elizabeth,9.6 mi from New York
Super 8 by Wyndham Nyack NY,26.61 mi from New York
Ramada by Wyndham East Orange,11.81 mi from New York
Days Inn by Wyndham Nanuet / Spring Valley,26.9 mi from New York
La Quinta Inn & Suites by Wyndham Fairfield NJ,18.72 mi from New York
Modern & cozy 1-bed attic apt close to NYC,5.7 mi from New York
Rodeway Inn,9.53 mi from New York
Ramada by Wyndham Rochelle Park Near Paramus,14.81 mi from New York
Red Roof Inn Fairfield,19.05 mi from New York
Rest Inn - Elizabeth,11.63 mi from New York
Relax and rejuvenate in this Hideaway Apartment close to public transportation .,20.7 mi from New York
LUXE | Private & Modern | Close to City,18.29 mi from New York
Hudson Plaza Motel Bayonne / Jersey City,5.36 mi from New York
Modern Cozy Apartment - Near American Dream Theme Park & NYC,10.4 mi from New York
Hotel Executive Suites,14.85 mi from New York
"Motel 6 Elmsford, NY - White Plains",25.6 mi from New York
Turkey Hill Inn,18.42 mi from New York
Studio at North Bergen close to NYC and mass transportation,6.18 mi from New York
Renovated 1 bedroom apartment 30 min train ride from manhattan,16.86 mi from New York
Comfort Suites Newark - Harrison,8.9 mi from New York
Comfort Inn Paramus,14.97 mi from New York
Best Western The Inn At Ramsey,25.8 mi from New York
Travelodge by Wyndham South Hackensack,10.33 mi from New York
Extended Stay America Suites Meadowlands East Rutherford,7.38 mi from New York
Rodeway Inn Meadowlands,6.17 mi from New York
Sonesta Simply Suites Nanuet,27.32 mi from New York
WoodSpring Suites Linden,12.63 mi from New York
"Robert Treat Hotel, BW Premier Collection",8.72 mi from New York
Perfect near NYC,7.58 mi from New York
This stylish place to stay is perfect for group trips to NYC!,11.05 mi from New York
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,6.68 mi from New York
The Wayne Inn,18.64 mi from New York
Days Inn by Wyndham Elmsford / White Plains,25.47 mi from New York
Extended Stay America Suites Elizabeth Newark Airport,9.54 mi from New York
Hotel Mint JFK Airport,15.18 mi from New York
Umbrella Hotel Brooklyn,5.65 mi from New York
Super Lake Hotel,9.67 mi from New York
Days Inn by Wyndham Ridgefield NJ,9.09 mi from New York
Hampton Inn Woodbridge,19.47 mi from New York
Super 8 by Wyndham Meadowlands,7.96 mi from New York
Hampton Inn Ridgefield Park,9.11 mi from New York
Extended Stay America Suites Meadowlands Rutherford,8.15 mi from New York
The Central Park North,New York
Howard Johnson by Wyndham Clifton NJ,11.33 mi from New York
Travelodge by Wyndham Jersey City,4 mi from New York
Voyage Hotel,4.69 mi from New York
Luxury Studio Suite- 5mins to EWR-close to NYC,11 mi from New York
Essence Express Wayne,17.89 mi from New York
Super 8 by Wyndham Rahway/Newark,15.78 mi from New York
Haiban Inn,3.45 mi from New York
Latisha house,6.95 mi from New York
Latisha luxury place ,6.71 mi from New York
This location will make ur EYES Light UP,9.82 mi from New York
Hampton Inn Linden,14.09 mi from New York
"Holiday Inn Clark - Newark Area, an IHG Hotel",16.61 mi from New York
Comfort Suites at Woodbridge,16.35 mi from New York
Hampton Inn Newark Airport,9.56 mi from New York
DoubleTree by Hilton Fairfield Hotel & Suites,18.49 mi from New York
Howard Johnson Hotel by Wyndham Newark Airport,7.92 mi from New York
Quality Inn near Sunset Park,4.29 mi from New York
Charming and Comfy,8.37 mi from New York
"Comfy with Free Parking, 2 beds Near Airport, Park/Hospital!",11.3 mi from New York
Action Lodge 3Bedroom and 2Bathroom,10.37 mi from New York
The Westfield Inn | An elegant boutique hotel at New Jersey,18.5 mi from New York
Quiet comfortable homelike apt 10 minutes from the airport.,10.51 mi from New York
APA Hotel Woodbridge,19.81 mi from New York
DoubleTree by Hilton Fort Lee - George Washington Bridge,10.32 mi from New York
Days Inn by Wyndham Jersey City / NYC Area,3.92 mi from New York
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",10.69 mi from New York
Casa Azul Hotel Blu JFK,14.26 mi from New York
Grandview Hotel New York,9.88 mi from New York
TRYP by Wyndham Newark Downtown,8.66 mi from New York
Hilton Garden Inn Secaucus/Meadowlands,5.23 mi from New York
Hilton Garden Inn Nanuet,26.79 mi from New York
Courtyard by Marriott Paramus,16.26 mi from New York
Steinway Hotel,6.25 mi from New York
Travelodge by Wyndham Manhasset,16.78 mi from New York
Mitchell Executive Hotel,10.81 mi from New York
Best Western Paramus Hotel & Suites,15.73 mi from New York
Courtyard by Marriott Newark Liberty International Airport,8.73 mi from New York
Airway Inn at LaGuardia,7.18 mi from New York
Paris Suites Hotel,8.33 mi from New York
Hotel Pergola JFK Airport,11.99 mi from New York
Fairfield Inn & Suites by Marriott New York Staten Island,13.05 mi from New York
Cozy Apartment Fantastic Location,8.37 mi from New York
"Modern 1 Bdrm- Mins to NYC, Prudential, & Airport",10.89 mi from New York
"Home2 Suites by Hilton Wayne, NJ",17.82 mi from New York
Hilton Garden Inn Wayne,20.95 mi from New York
SureStay Hotel by Best Western Secaucus Meadowlands,5.65 mi from New York
Homewood Suites by Hilton East Rutherford - Meadowlands,9.29 mi from New York
Townhouse Inn & Suites,13.91 mi from New York
Fairfield Inn & Suites by Marriott Woodbridge,16.27 mi from New York
Newark Hansbury Multi Level House,10.91 mi from New York
Howard Johnson by Wyndham North Bergen,4.25 mi from New York
Entire Luxury 2 Bedroom Near NY/EWR With Workspace,10.8 mi from New York
Fairfield Inn & Suites by Marriott Paramus,17.37 mi from New York
Homewood Suites by Hilton Teaneck Glenpointe,10.95 mi from New York
"Holiday Inn Express Woodbridge, an IHG Hotel",17.64 mi from New York
Wheeler Hotel,10.34 mi from New York
Extended Stay America Suites Secaucus Meadowlands,6.75 mi from New York
Best Western Fort Lee,10.63 mi from New York
"Crowne Plaza Englewood, an IHG Hotel",11.88 mi from New York
Best Western Plus Newark Airport West,9.5 mi from New York
Ardsley Acres Hotel Westchester,21.95 mi from New York
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",10.02 mi from New York
Hilton Meadowlands,7.42 mi from New York
"Holiday Inn Newark International Airport, an IHG Hotel",8.41 mi from New York
Home away from Home,10.79 mi from New York
The Floral Park Motor Lodge,15.44 mi from New York
Homewood Suites by Hilton Newark-Cranford,15.59 mi from New York
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,5.81 mi from New York
Hilton Short Hills,18.95 mi from New York
Home2 Suites by Hilton Newark Airport,8.69 mi from New York
Clinton Inn Hotel & Event Center,14.63 mi from New York
The Jane Hotel,New York
Marriott Saddle Brook,14.17 mi from New York
Phoenix Hotel,4.27 mi from New York
"Luxury 1 Bdrm (King)- mins to NYC, Airport, & Prudential Center/ Downtown Newark",11 mi from New York
❤️Close to NYC🗽Free Parking🚗 Ground Level Studio,19.28 mi from New York
Jazz On The Park Hostel,New York
Sky Hotel Flushing/LaGuardia Airport,9.61 mi from New York
"Crowne Plaza Newark Airport, an IHG Hotel",10.13 mi from New York
Hampton Inn Nanuet,26.84 mi from New York
SpringHill Suites by Marriott Newark Liberty International,8.59 mi from New York
Rodeway Inn Jersey City near Hoboken,3.77 mi from New York
Days Hotel by Wyndham North Bergen /NYC Area,4.55 mi from New York
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",9.16 mi from New York
Royal Hotel Bronx,13.79 mi from New York
Hyatt Place Fair Lawn Paramus,15.43 mi from New York
Hilton Hasbrouck Heights/Meadowlands,11.4 mi from New York
Courtyard by Marriott Secaucus Meadowlands,5.63 mi from New York
Wyndham Garden North Bergen Near Secaucus,4.22 mi from New York
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",25.18 mi from New York
Red Carpet Inn Elmwood Park,13.75 mi from New York
The Kenilworth,14.56 mi from New York
Courtyard by Marriott Newark Elizabeth,9.66 mi from New York
DoubleTree by Hilton Newark Penn Station,8.49 mi from New York
Embassy Suites Newark Airport,9.58 mi from New York
Courtyard by Marriott Montvale,23.84 mi from New York
Cabana Hotel Yankee Stadium,9.75 mi from New York
Asiatic Hotel by LaGuardia Airport,9.69 mi from New York
🔰Luxury 1BR Apt• Kng Bed• Rooftop DwnTwn Newark 5🌟,8.74 mi from New York
Fairfield Inn & Suites Newark Liberty International Airport,8.79 mi from New York
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,9.6 mi from New York
Americana Inn,Central New York City
Courtyard by Marriott Newark Downtown,8.88 mi from New York
Fairfield Inn by Marriott East Rutherford Meadowlands,8.98 mi from New York
Elmhurst Hotel,6.79 mi from New York
❇️ROOFTOP TERRACE❇️ Luxury 1BR Downtown Newark - 20 Mins to NYC,8.74 mi from New York
🌟RooftopTerrace🌟 Downtown Luxury 1BR-5 min walk 2 Prudential,8.74 mi from New York
Modern and Stylish Downtown Newark,8.72 mi from New York
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,10.4 mi from New York
"Crowne Plaza Saddle Brook, an IHG Hotel",14.11 mi from New York
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",10.56 mi from New York
Home2 Suites by Hilton Hasbrouck Heights,10.81 mi from New York
Hampton Inn & Suites Fairfield,19.11 mi from New York
The Local,3.98 mi from New York
Ramada by Wyndham Rockville Centre,20.39 mi from New York
Hilton Garden Inn Springfield,17.14 mi from New York
Hampton Inn & Suites Newark-Harrison-Riverwalk,8.63 mi from New York
Hotel Key LaGuardia Airport,9.81 mi from New York
SpringHill Suites by Marriott East Rutherford Meadowlands/Carlstadt,8.45 mi from New York
YMCA West Side,New York
Quality Suites NYC Gateway,4.16 mi from New York
Hilton Woodcliff Lake,23.13 mi from New York
Renaissance Newark Airport Hotel,10.08 mi from New York
Delta Hotels by Marriott Woodbridge,19.28 mi from New York
The Grand Summit Hotel,18.91 mi from New York
Cheerful 3BR residential home with free parking,10.09 mi from New York
The Baltic Hotel,2.35 mi from New York
Hotel Opus Bronx,14.31 mi from New York
Hampton Inn & Suites Staten Island,11.38 mi from New York
"Vista LIC Hotel, BW Premier Collection",4.66 mi from New York
7 Days Hotel Bronx,11.54 mi from New York
Courtyard by Marriott Lyndhurst Meadowlands,8.42 mi from New York
Meadowlands Plaza Hotel,6.57 mi from New York
"Watt Hotel Rahway, Tapestry Collection by Hilton",15.94 mi from New York
Spacious one bedroom one bathroom beautiful home,8.14 mi from New York
LUXURY COCO CHANEL THEMED APARTMENT,11.01 mi from New York
Hampton Inn & Suites Teaneck Glenpointe,10.95 mi from New York
Hilton Newark Airport,9.97 mi from New York
Nr Marriott*Airprt*FastWiFi*Train2NY,8.8 mi from New York
Hilton Garden Inn New York / Staten Island,11.26 mi from New York
Night Hotel Broadway,Upper West Side
Hampton Inn & Suites Yonkers,19.03 mi from New York
The Vue Hotel Express,4.31 mi from New York
"Home2 Suites by Hilton Rahway, NJ",15.42 mi from New York
Comfort Inn Manhattan - Midtown West,New York
Hyatt Place Secaucus/Meadowlands,5.43 mi from New York
Flushing Central Hotel,9.71 mi from New York
Royal Regency Hotel,18.28 mi from New York
Aloft Secaucus Meadowlands,5.74 mi from New York
Baymont by Wyndham White Plains - Elmsford,26.63 mi from New York
Residence Inn by Marriott Saddle River,22.96 mi from New York
Leon Hotel LES,New York
Hyatt Place Fort Lee / George Washington Bridge,10.42 mi from New York
Days Inn by Wyndham Brooklyn Marine Park,7.74 mi from New York
Residence Inn by Marriott East Rutherford Meadowlands,8.93 mi from New York
Super 8 by Wyndham North Bergen NJ/NYC Area,4.61 mi from New York
Cambria Hotel West Orange,14.25 mi from New York
Extended Stay America Suites Secaucus New York City Area,5.28 mi from New York
Element Spring Valley,27.11 mi from New York
Best Western Premier NYC Gateway Hotel,4.56 mi from New York
Tranquil Luxury King<br>Suite | Rooftop | Gym | Lounge | Walk to Prudential Center,8.74 mi from New York
"Holiday Inn New York City - Wall Street, an IHG Hotel",New York
DoubleTree by Hilton New York Downtown,New York
Four Points By Sheraton New York Downtown,New York
Teaneck Marriott at Glenpointe,10.99 mi from New York
Element Harrison - Newark,8.07 mi from New York
Residence Inn Secaucus Meadowlands,5.45 mi from New York
Freehand New York,New York
Homewood Suites by Hilton Edgewater,6.55 mi from New York
Hampton Inn Manhattan-Seaport-Financial District,New York
Extended Stay America Suites White Plains Elmsford,25.58 mi from New York
Feather Factory,4.03 mi from New York
Courtyard by Marriott Yonkers Westchester County,19.16 mi from New York
Comfort Inn & Suites,28.07 mi from New York
Hilton Garden Inn Ridgefield Park,9.6 mi from New York
SoHo 54 Hotel,New York
Highbridge Hotel,9.65 mi from New York
Family Friendly Three Bedroom Apartment outside of NYC,25.04 mi from New York
Luxurious townhouse. Safe and quiet neighborhood centrally located near all rest,9.93 mi from New York
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",New York
Courtyard by Marriott West Orange,14.18 mi from New York
The Gatsby Hotel,New York
Knights Inn Brooklyn Sunset Park,4.57 mi from New York
DoubleTree by Hilton Hotel Newark Airport,8.27 mi from New York
Pod Times Square,New York
"The Cloud One New York-Downtown, by the Motel One Group",New York
Sheraton Tribeca New York Hotel,New York
Moxy NYC Downtown,New York
Marriott Park Ridge,23.08 mi from New York
Courtyard Long Island City/New York Manhattan View,4.4 mi from New York
"The L Hotel, Ascend Hotel Collection",3.85 mi from New York
Hotel Mimosa,New York
La Quinta Inn & Suites by Wyndham New York City Central Park,New York
Paramount Times Square,Theater District
Hampton Inn Manhattan/Downtown-Financial District,New York
Casa Blanca Hotel Brooklyn,2.03 mi from New York
The Shelburne Sonesta New York,New York
LIC Hotel,4 mi from New York
Courtyard by Marriott Wayne Fairfield,18.13 mi from New York
Homewood Suites by Hilton Edison Woodbridge,20.57 mi from New York
The Vue Inn Brooklyn,5.65 mi from New York
The Flat NYC,New York
"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",New York
Hotel 48LEX New York,New York
Orchard Street Hotel,New York
Element New York Times Square West,New York
Hampton Inn Garden City Long Island,20.85 mi from New York
Hampton Inn NY-JFK,11.49 mi from New York
Hampton Inn Carlstadt-At The Meadowlands,8.19 mi from New York
Pod 51,New York
Courtyard by Marriott New York Downtown Manhattan/Financial District,New York
Pod 39,New York
Comfort Inn Edgewater on Hudson River,7.52 mi from New York
Renaissance Meadowlands Hotel,8.5 mi from New York
"Distrikt Hotel New York City, Tapestry Collection by Hilton",New York
King Hotel Brooklyn Sunset Park,4.41 mi from New York
Eurostars Wall Street,New York
A place of home from home.,10.94 mi from New York
Hudson River Hotel,New York
Element New York Wood Ridge,10.09 mi from New York
Hilton Garden Inn New York/Manhattan-Midtown East,New York
"Crowne Plaza JFK Airport New York City, an IHG Hotel",11.26 mi from New York
The Manhattan at Times Square Hotel,Theater District
The Holland Hotel,2.14 mi from New York
Ameritania Hotel at Times Square,Theater District
Comfort Inn & Suites near Stadium,7.82 mi from New York
Untitled at 3 Freeman Alley,New York
Motto by Hilton New York City Chelsea,Chelsea
Hilton Garden Inn New York/Times Square Central,Theater District
The FIDI Hotel,New York
Comfort Inn Brooklyn,9.71 mi from New York
"Hotel Indigo NYC Financial District, an IHG Hotel",New York
Best Western Jamaica Inn,9.89 mi from New York
Home2 Suites by Hilton NY Long Island City/Manhattan View,4.7 mi from New York
"Hilton Garden Inn Westchester Dobbs Ferry, NY",21.49 mi from New York
The Boro Hotel,4.67 mi from New York
Comfort Inn & Suites LaGuardia Airport,5.43 mi from New York
Hyatt Centric Wall Street New York,New York
Fairfield Inn New York Manhattan/Financial District,New York
Quality Inn JFK Airport Rockaway Blvd,12.16 mi from New York
The Lodge Red Hook,2.27 mi from New York
"Holiday Inn Express & Suites Jersey City North - Hoboken, an IHG Hotel",3.9 mi from New York
Mam Homes ,13.62 mi from New York
Luxury Private Apartment—Walk to Train for NYC!,17.73 mi from New York
JG Sohotel,SoHo
"The Time New York, part of JdV by Hyatt",Theater District
"Hotel Nyack, a JdV by Hyatt Hotel",26.67 mi from New York
Four Points by Sheraton Midtown-Times Square,New York
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,New York
Midtown West Hotel,Chelsea
The Wall Street Inn,New York
Adria Hotel And Conference Center,13.32 mi from New York
Radisson Hotel JFK Airport,11.31 mi from New York
Liberty View Brooklyn hotel,3.77 mi from New York
Hyatt Place New York/Yonkers,16.74 mi from New York
Moxy NYC Lower East Side,New York
The Lex NYC,New York
Comfort Inn JFK Airport,10.93 mi from New York
The Fifty Sonesta Select New York,New York
"Avion Inn Near LGA Airport, Ascend Hotel Collection",7.26 mi from New York
Residence Inn By Marriott West Orange,14.25 mi from New York
Courtyard Jersey City Newport,1.79 mi from New York
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",2.22 mi from New York
Dream Midtown,New York
Ramada by Wyndham Bronx,14.7 mi from New York
Harmony Suites,5.55 mi from New York
Millennium Hilton New York One UN Plaza,New York
The Hotel @ Fifth Avenue,New York
Millennium Downtown New York,New York
Doxie Hotel,New York
Hotel Mulberry,New York
Hampton Inn White Plains/Tarrytown,25.59 mi from New York
Residence Inn by Marriott Wayne,20.85 mi from New York
TownePlace Suites by Marriott New York Long Island City/Manhattan View,4.52 mi from New York
Corona Hotel,8.42 mi from New York
Hilton New York JFK Airport,11.44 mi from New York
Best Western Mill River Manor,19.1 mi from New York
Moderne Hotel,New York
Residence Inn by Marriott White Plains Westchester County,25.42 mi from New York
Fairfield Inn & Suites by Marriott North Bergen,6.06 mi from New York
Fitzpatrick Manhattan Hotel,New York
John Hotel,9.56 mi from New York
The Gallivant Times Square,Theater District
Lic Plaza Hotel,4.49 mi from New York
Chelsea Inn,New York
Renaissance New York Chelsea Hotel,Chelsea
