Hotel Name,Distance from NYC
Cambria Hotel White Plains - Downtown,25.49 mi from New York
"The Algonquin Hotel Times Square, Autograph Collection",Central New York City
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",New York
Newark Liberty International Airport Marriott,9.25 mi from New York
SpringHill Suites by Marriott Tarrytown Westchester County,25.65 mi from New York
"Holiday Inn Express New York City Times Square, an IHG Hotel",New York
Grayson Hotel in the Unbound Collection by Hyatt,Central New York City
Hilton Garden Inn New York/Tribeca,New York
Courtyard by Marriott New York World Trade Center Area,New York
Radio Hotel,New York
TBA Times Square,New York
Five Towns Inn - JFK Airport,15.04 mi from New York
The Ridge Hotel,New York
Pestana CR7 Times Square,New York
HGU New York,New York
Fitzpatrick Grand Central,New York
Henn na Hotel New York,New York
The Benjamin Royal Sonesta New York,New York
Aloft Long Island City - Manhattan View,4.25 mi from New York
The Modernist Hotel,4.67 mi from New York
"Candlewood Suites New York City-Times Square, an IHG Hotel",New York
La Quinta Inn & Suites by Wyndham Garden City,21.08 mi from New York
Radisson Hotel New Rochelle,18.31 mi from New York
Hyatt Place Long Island City/New York City,4.18 mi from New York
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",4.59 mi from New York
Best Western Plus Soho Hotel,New York
"Club Quarters Hotel, World Trade Center",New York
World Center Hotel,New York
Aloft New York LaGuardia Airport,8.12 mi from New York
"Martinique New York on Broadway, Curio Collection by Hilton",New York
The Mansion at Glen Cove,22.91 mi from New York
Courtyard by Marriott New York Manhattan/Times Square,New York
Marco LaGuardia Hotel,9.81 mi from New York
YOTEL New York Times Square,New York
"Holiday Inn Westbury - Long Island, an IHG Hotel",21.27 mi from New York
Hotel Le Bleu,2.91 mi from New York
Ink 48 Hotel,New York
NH Collection New York Madison Avenue,New York
"Crowne Plaza Times Square Manhattan, an IHG Hotel",Theater District
Residence Inn Orangeburg,22.85 mi from New York
Hotel Richland LES,New York
The Renwick,New York
"Club Quarters Hotel, Grand Central",New York
Hotel Boutique at Grand Central,New York
Chelsea Mews Guest House All Male,New York
"Holiday Inn Express Maspeth, an IHG Hotel",5.25 mi from New York
Very cozy and private retreat Estudio/apartment,18.81 mi from New York
Madison LES Hotel,New York
Red Lion Inn & Suites Long Island City,4.25 mi from New York
Best Western Brooklyn-Coney Island Inn,8.98 mi from New York
Aliz Hotel Times Square,New York
The Redbury New York,New York
Selina Chelsea,Chelsea
Ravel Hotel Trademark Collection by Wyndham,4.12 mi from New York
Courtyard by Marriott New York City Manhattan Fifth Avenue,New York
Courtyard by Marriott New York JFK Airport,11.55 mi from New York
Archer Hotel New York,Central New York City
SpringHill Suites by Marriott Tuckahoe Westchester County,19.27 mi from New York
Fairfield Inn by Marriott JFK Airport,12.26 mi from New York
"Insignia Hotel, Ascend Hotel Collection",5.34 mi from New York
Cachet Boutique New York,New York
Red Roof PLUS+ Long Island - Garden City,21.18 mi from New York
Executive Hotel Le Soleil New York,New York
Four Points by Sheraton Manhattan SoHo Village,New York
Residence Inn Marriott New York Downtown Manhattan/WTC Area,New York
"EVEN Midtown East Grand Central, an IHG Hotel",New York
Hyatt Place Garden City,20.93 mi from New York
The Parc Hotel,9.52 mi from New York
Union Hotel,2.61 mi from New York
Pestana Park Avenue,New York
Ramada by Wyndham New York Times Square West,New York
Hotel 57,New York
The James New York - NoMad,New York
Courtyard by Marriott Rye,25.89 mi from New York
The Lombardy Hotel,New York
Hilton Garden Inn New York/West 35th Street,New York
DoubleTree by Hilton New York Midtown Fifth Ave,Central New York City
"Le Meridien New York, Fifth Avenue",New York
Courtyard Westbury Long Island,21.93 mi from New York
Wyndham Garden Long Island City,3.81 mi from New York
Dream Downtown,New York
Walker Hotel Tribeca,New York
The Frederick Hotel,New York
Hotel 369 Brooklyn,6.33 mi from New York
Hilton Pearl River,23.14 mi from New York
Hilton Garden Inn Westbury,21.91 mi from New York
"Homewood Suites by Hilton Carle Place - Garden City, NY",20.39 mi from New York
"The Draper New York, Tapestry Collection by Hilton",New York
Wyndham Garden Brooklyn Sunset Park,4.22 mi from New York
Graduate New York,New York
Hilton New York Fashion District,Chelsea
"Holiday Inn Express Roslyn - Manhasset Area, an IHG Hotel",18.84 mi from New York
Hilton Garden Inn Queens/JFK Airport,10.96 mi from New York
"Club Quarters, Times Square - Midtown",Central New York City
The Evelyn Hotel,New York
Royalton New York,Central New York City
Mint House at 70 Pine,New York
Hilton Garden Inn New York/Central Park South-Midtown West,Theater District
Rockville Centre Hotel,18.63 mi from New York
The New Yorker A Wyndham Hotel,New York
Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,New York
East Village Hotel,New York
"voco Times Square South, an IHG Hotel",New York
"Holiday Inn New York City - Times Square, an IHG Hotel",New York
Mondrian Park Avenue,New York
Residence Inn by Marriott Weehawken,4.49 mi from New York
Opera House Hotel,8.51 mi from New York
Wingate by Wyndham Bronx/Haven Park,8.02 mi from New York
Westgate New York Grand Central,New York
Extended Stay America Suites New York City LaGuardia Airport,10.6 mi from New York
Hilton Garden Inn New York/Midtown Park Ave,New York
Da Vinci Hotel,New York
The Solita Soho Hotel,New York
The One Boutique Hotel,9.93 mi from New York
Nesva Hotel,4.66 mi from New York
Hotel Edison Times Square,Theater District
Hampton Inn Manhattan/Times Square South,New York
Hotel Hendricks,Central New York City
DoubleTree by Hilton Hotel New York City - Chelsea,Chelsea
Park Terrace Hotel,Central New York City
Hilton Garden Inn Roslyn,19.41 mi from New York
"The Bernic Hotel New York City, Tapestry Collection by Hilton",New York
"Holiday Inn NYC - Lower East Side, an IHG Hotel",New York
Margaritaville Resort Times Square,Theater District
Sheraton Tarrytown Hotel,25.63 mi from New York
Sonesta White Plains Downtown,25.38 mi from New York
La Quinta Inn & Suites by Wyndham Times Square South,New York
New York Hilton Midtown,Central New York City
Fairfield Inn by Marriott New York Manhattan/Times Square,New York
"The Lexington Hotel, Autograph Collection",New York
Global Luxury Suites at The Arches,7.78 mi from New York
Sonder The Industrialist,2.69 mi from New York
Millennium Hotel Broadway Times Square,Theater District
Sheraton New York Times Square Hotel,Theater District
Residence Inn Woodbridge Edison/Raritan Center,18.69 mi from New York
Best Western Queens Gold Coast,13.28 mi from New York
The Westin New York Grand Central,New York
Hyatt Place New York/Chelsea,Chelsea
Hyatt Centric Midtown 5th Avenue New York,New York
"Hotel Indigo Lower East Side New York, an IHG Hotel",New York
Springhill Suites by Marriott Carle Place Garden City,20.34 mi from New York
Pod Brooklyn,2.46 mi from New York
Canopy by Hilton Jersey City Arts District,1.85 mi from New York
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Central New York City
Sonesta Simply Suites Jersey City,1.56 mi from New York
Sonder The William,New York
The Bryant Park Hotel,Central New York City
"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",New York
CIVILIAN Hotel,New York
SIXTY Lower East Side,New York
Executive Class at MTS Hotel,Theater District
SpringHill Suites by Marriott New York Manhattan/Chelsea,Chelsea
Hyatt Grand Central New York,New York
Courtyard by Marriott New York Manhattan/Midtown West,New York
Courtyard by Marriott New York Queens/Fresh Meadows,11.44 mi from New York
The Marlton Hotel,Greenwich Village
"Holiday Inn Brooklyn Downtown, an IHG Hotel",2.13 mi from New York
Castle Hotel & Spa,25.88 mi from New York
AC Hotel by Marriott New York Downtown,New York
Fairfield Inn & Suites by Marriott New York ManhattanChelsea,Chelsea
citizenM New York Bowery,New York
Ace Hotel New York,New York
Wyndham Garden Chinatown,New York
Courtyard by Marriott Edgewater NYC Area,6.31 mi from New York
New York LaGuardia Airport Marriott,8.2 mi from New York
SpringHill Suites by Marriott New York JFK Airport/Jamaica,10.04 mi from New York
Hotel Hayden,Chelsea
Hyatt Place New York Midtown South,New York
The Allen Hotel,New York
RIU Plaza Manhattan Times Square,Theater District
Redford Hotel,New York
Artezen Hotel,New York
The Westin New York at Times Square,Theater District
citizenM New York Times Square,Theater District
Truss Hotel Times Square ,New York
Hotel St. James,Theater District
Hilton New York Times Square,Theater District
"Holiday Inn Express - New York City Chelsea, an IHG Hotel",Chelsea
OYO Times Square,Theater District
Hilton Garden Inn New York Times Square South,New York
6 Columbus Central Park Hotel,New York
DoubleTree by Hilton Hotel & Suites Jersey City,1.77 mi from New York
Hilton Garden Inn Long Island City New York,4.45 mi from New York
Warwick New York,Central New York City
HYATT house White Plains,25.81 mi from New York
Courtyard New York Manhattan/ Midtown East,New York
City Club Hotel,Central New York City
Omni Berkshire Place,New York
The Iroquois New York,Central New York City
The Shoreham Hotel,Central New York City
Hampton Inn Manhattan-Chelsea,Chelsea
"Hotel 50 Bowery, part of JdV by Hyatt",New York
M Social Hotel Times Square New York,Theater District
Park Central Hotel New York,New York
SpringHill Suites by Marriott New York Manhattan/Times Square South,New York
"InterContinental New York Times Square, an IHG Hotel",New York
Residence Inn by Marriott New York Manhattan/Midtown East,New York
Aloft New York Brooklyn,1.85 mi from New York
Kixby,New York
Peachtree Suites,3.34 mi from New York
Hyatt Centric Times Square New York,Theater District
Renaissance New York Times Square Hotel,Theater District
New York Marriott Downtown,New York
Sheraton Lincoln Harbor Hotel,3.3 mi from New York
Fairfield Inn & Suites New York Queens/Fresh Meadows,11.4 mi from New York
TRYP by Wyndham New York City Times Square / Midtown,New York
Midtown Convention Center Hotel,New York
Residence Inn by Marriott New York Manhattan/Times Square,New York
Doubletree by Hilton New York Times Square South,New York
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",Chelsea
Hyatt House Jersey City,1.48 mi from New York
Learn at Ellis Island Museum! Sophisticated Suite! Parking Available!,1.59 mi from New York
Visit Liberty Science Center! Contemporary Unit! Interactive Exhibits!,1.59 mi from New York
The Sohotel,New York
"EVEN Hotel Brooklyn, an IHG Hotel",2.16 mi from New York
"Gild Hall, A Thompson Hotel",New York
New York Marriott at the Brooklyn Bridge,1.61 mi from New York
Hilton Garden Inn New York Times Square North,Central New York City
The Maritime Hotel,New York
The Moore,Chelsea
Courtyard by Marriott New York Manhattan/SoHo,New York
Residence Inn by Marriott New York Downtown Manhattan/Financial District,New York
TownePlace Suites by Marriott New York Manhattan,New York
Concorde Hotel New York,New York
The Michelangelo Hotel,Theater District
Heritage Hotel,New York
SpringHill Suites by Marriott New York Midtown Manhattan,New York
EVEN Hotel New York - Times Square South,New York
Sheraton Brooklyn New York Hotel,1.85 mi from New York
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,6.49 mi from New York
Ramada by Wyndham Flushing Queens,9.66 mi from New York
Dylan Hotel NYC,New York
Sonder The Dutch,4.58 mi from New York
Best Western Plus Brooklyn Bay Hotel,9.58 mi from New York
"Viana Hotel and Spa, Trademark Collection by Wyndham",23.77 mi from New York
DoubleTree by Hilton Hotel Nanuet,26.15 mi from New York
Hotel On Rivington,New York
Moxy Brooklyn Willamsburg,2.26 mi from New York
Iberostar 70 Park Avenue,New York
"Hotel Indigo Flushing, an IHG Hotel",9.68 mi from New York
Hampton Inn & Suites Rockville Centre,18.91 mi from New York
Hotel 32 32,New York
Walker Hotel Greenwich Village,Greenwich Village
Comfort Inn Prospect Park - Brooklyn,3.44 mi from New York
Homewood Suites New York/Midtown Manhattan Times Square,New York
NU Hotel Brooklyn,1.88 mi from New York
Sanctuary Hotel New York,Theater District
SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,New York
The Marmara Park Avenue,New York
Merrion Row Hotel and Public House,Theater District
New York Marriott Marquis,Theater District
"Le Meridien New York, Central Park by Marriott",New York
"The MC, Autograph Collection",13.45 mi from New York
The Westin Jersey City Newport,1.77 mi from New York
Hampton Inn Manhattan Grand Central,New York
W New York - Times Square,Theater District
Moxy NYC East Village,New York
Cambria Hotel New York - Chelsea,Chelsea
Citadines Connect Fifth Avenue New York,Central New York City
Refinery Hotel,Central New York City
Virgin Hotels New York City,New York
Arlo NoMad,New York
Chelsea Pines Inn,New York
Broadway Plaza Hotel,New York
Hampton Inn Manhattan/Times Square Central,Theater District
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",New York
Sheraton LaGuardia East Hotel,9.68 mi from New York
"Envue, Autograph Collection",4.48 mi from New York
Best Western Premier Empire State Hotel,New York
"Staypineapple, An Artful Hotel, Midtown",New York
Placemakr Wall Street,New York
King Room in Brooklyn,2.61 mi from New York
The Garden City Hotel,19.21 mi from New York
Millennium Premier New York Times Square,Theater District
The Gotham Hotel,New York
Best Western Plus Hospitality House,New York
Residence Inn by Marriott New York JFK Airport,11.38 mi from New York
Arlo Midtown,New York
INNSiDE by Meliá New York Nomad,Chelsea
Hampton Inn Brooklyn/Downtown,1.66 mi from New York
Kasa Lantern Lower East Side,New York
Courtyard by Marriott Tarrytown Westchester County,25.75 mi from New York
Fairfield Inn & Suites New York Manhattan / Central Park,New York
San Carlos Hotel,New York
Wingate by Wyndham New York Midtown South/5th Ave,New York
AC Hotel by Marriott New York Times Square,New York
Fairfield Inn & Suites by Marriott New York Brooklyn,2.51 mi from New York
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,Chelsea
Four Points By Sheraton Manhattan Midtown West,New York
Best Western Gregory Hotel,6.21 mi from New York
Washington Square Hotel,Greenwich Village
The Nolitan,New York
Hotel Riu Plaza New York Times Square,New York
NoMo SoHo,SoHo
Hyatt Union Square New York,New York
Courtyard by Marriott New York Manhattan / Central Park,New York
Residence Inn New York Manhattan/Central Park,New York
Aloft Harlem,Harlem
Hard Rock Hotel New York,Theater District
NobleDEN Hotel,New York
Empire Hotel,New York
"Marriott Vacation Club Pulse, New York City",New York
Arlo SoHo,New York
The Standard East Village,New York
W New York - Union Square,New York
The Kitano Hotel New York,New York
Sofitel New York,Central New York City
Made Hotel,New York
Fairfield Inn & Suites New York Manhattan/Times Square South,New York
Hyatt Place New York City/Times Square,New York
Hyatt House New York/Chelsea,Chelsea
The Hilton Club - New York,Central New York City
The Gardens Sonesta ES Suites New York,New York
Moxy NYC Times Square,New York
"PUBLIC, an Ian Schrager hotel",New York
11 Howard,SoHo
"The Beekman, A Thompson Hotel",New York
The Belvedere Hotel,New York
Roxy Hotel New York,New York
Sonder Duane Street,New York
Royalton Park Avenue,New York
The MUSE New York,Theater District
Soho Grand Hotel,SoHo
Park Lane New York,Central New York City
Hotel Giraffe by Library Hotel Collection,New York
"InterContinental New York Barclay, an IHG Hotel",New York
Hotel Hugo,New York
Hilton Club The Central at 5th New York,New York
The Knickerbocker Hotel,Theater District
Arthouse Hotel New York City,Upper West Side
Courtyard New York Manhattan/Times Square West,New York
Courtyard by Marriott New York Manhattan/Upper East Side,New York
Hotel Beacon,Upper West Side
The Hotel Chelsea,Chelsea
Gansevoort Meatpacking,New York
The Standard High Line,New York
Library Hotel by Library Hotel Collection,New York
Courtyard by Marriott New York Manhattan / Chelsea,Chelsea
The Lucerne Hotel,Upper West Side
Smyth Tribeca,New York
Hyatt Herald Square New York,New York
Hotel Belleclaire,Upper West Side
NYC Getaway! Great Proximity to Attractions! Minutes to LaGuardia Airport!,New York
The Kimberly Hotel,New York
The Pearl New York,Theater District
Hotel Elysee by Library Hotel Collection,New York
Carnegie Hotel,New York
The Ludlow Hotel,New York
Hotel and the City-Midtown,New York
ModernHaus SoHo,SoHo
1 Hotel Central Park,Central New York City
The Ned NoMad,New York
SIXTY SoHo,SoHo
The Wallace,Upper West Side
"Deluxe King, Beautiful Oversized Room",New York
Renaissance New York Midtown Hotel,New York
The Times Square EDITION,Theater District
33 Seaport Hotel New York,New York
Superior King,New York
JW Marriott Essex House New York,New York
Conrad New York Midtown,New York
The Bowery Hotel,New York
Hilton Club The Quin New York,Central New York City
Thompson Central Park - New York,New York
Sonder Chambers,Central New York City
The Broome Nyc,SoHo
Hotel AKA NoMad,New York
The New York EDITION,New York
Loews Regency New York Hotel,New York
The Wall Street Hotel,New York
Andaz 5th Avenue - a concept by Hyatt,Central New York City
Deluxe Double Queen,New York
Deluxe Double Queen with Balcony,New York
Lotte New York Palace,New York
Nine Orchard,New York
The Dominick,New York
"The Chatwal, In The Unbound Collection By Hyatt",Theater District
Top Notch 2BR & 2BA Suite Minutes From Central Park in Upper East Side,New York
"The Langham, New York, Fifth Avenue",New York
Trump International Hotel & Tower New York,New York
Pendry Manhattan West,Chelsea
Equinox Hotel New York,New York
The Sherry Netherland,New York
Luxury Junior Suite x Balcony and NYC view in the heart of Downtown Manhattan,New York
Hilton Club West 57th Street New York,New York
The Mercer,SoHo
Hotel Scherman,New York
The Plaza Hotel,Central New York City
The Peninsula New York,Central New York City
2 x Grand Deluxe King at Royalton Park Avenue,New York
The St. Regis New York,New York
Four Seasons Hotel New York Downtown,New York
"The Pierre, A Taj Hotel, New York",New York
"The Carlyle, A Rosewood Hotel",New York
Park Hyatt New York,New York
Luxury Family Suite with Patio,New York
Quintessential King with Balcony,New York
Hotel Barriere Fouquets New York,New York
The Towers at Lotte New York Palace,New York
"Mandarin Oriental, New York",New York
"The Ritz-Carlton New York, NoMad",New York
"The Ritz-Carlton New York, Central Park",Central New York City
Baccarat Hotel and Residences New York,Central New York City
Casa Cipriani New York,New York
The Mark,New York
5th & 55th Residence Club,New York
The Lowell,New York
Conrad New York Downtown,New York
Chelsea Hotel Room King Bed,Chelsea
Bowery Grand Hotel,New York
Kama Central Park Hostel,New York
Nap York Central Park Sleep Station,New York
Hampton Inn Manhattan-35th St/Empire State Bldg,New York
Canal Loft Hotel,New York
The Wagner,New York
Night Hotel by SB at Times Square,Theater District
Marrakech New York,New York
Riff Hotel Chelsea,Chelsea
Candy Hostel,Upper West Side
The Surrey,New York
Excelsior Hotel,Upper West Side
The Residences by Hilton Club,New York
Ymca Harlem,Harlem
Best Western Bowery Hanbee Hotel,New York
Gem Hotel Soho,New York
Royal Park,New York
AKA Wall Street,New York
New World Hotel,New York
Artel Hotel by The Red Collection Times Square,New York
Pestana CR7 Times Square,New York
Hyatt House New York Chelsea,Chelsea
Nyma The New York Manhattan Hotel,New York
Spacious and Historic Duplex Apartment,Harlem
HI New York City,New York
"FEMALES ONLY <br>Quite safe neighborhood near NYC, transportation & mall<br>",15.2 mi from New York
Extended Stay America Suites Newark Woodbridge,19.55 mi from New York
Quiet getaway.,13.05 mi from New York
Cozy Shack-1 Bedroom Studio,6.47 mi from New York
